lokasi,nama_komoditas,2017-03-01,2017-03-02,2017-03-03,2017-03-04,2017-03-05,2017-03-06,2017-03-07,2017-03-08,2017-03-09,2017-03-10,2017-03-11,2017-03-12,2017-03-13,2017-03-14,2017-03-15,2017-03-16,2017-03-17,2017-03-18,2017-03-19,2017-03-20,2017-03-21,2017-03-22,2017-03-23,2017-03-24,2017-03-25,2017-03-26,2017-03-27,2017-03-28,2017-03-29,2017-03-30,2017-03-31
"Pasar Sederhana","Beras Medium",11000,11000,0,0,11000,11000,11000,11000,11000,11000,0,11000,11000,11000,11000,11000,11000,0,10000,10000,10000,10000,10000,0,0,60000,60000,60000,60000,60000,0
"Pasar Sederhana","Cabe Merah",60000,60000,0,0,60000,60000,60000,60000,60000,60000,0,50000,50000,50000,50000,50000,50000,0,40000,40000,40000,40000,40000,0,0,0,0,0,0,0,0
"Pasar Sederhana","Bawang Merah",45000,45000,0,0,45000,45000,45000,45000,45000,45000,0,45000,45000,45000,45000,45000,45000,0,40000,40000,40000,40000,40000,0,0,36000,31500,36000,36000,36000,0
"Pasar Sederhana","Daging Ayam Ras",30000,30000,0,0,30000,30000,30000,30000,30000,30000,0,30000,30000,30000,30000,31000,32000,0,33000,33000,33000,33000,33000,0,0,33000,33000,33000,33000,33000,0
"Pasar Sederhana","Telur Ayam Ras",19000,19000,0,0,19000,19000,19000,19000,19000,19000,0,19000,19000,19000,19000,19000,19000,0,19000,19000,19000,19000,19000,0,0,19000,19000,19000,19000,19000,0
"Pasar Sederhana","Daging Sapi",120000,120000,0,0,120000,120000,120000,120000,120000,120000,0,120000,120000,120000,120000,120000,120000,0,120000,120000,120000,120000,120000,0,0,36500,36500,36500,36500,36500,0
"Pasar Sederhana","Minyak Goreng",14500,14500,0,0,14500,14500,14500,14500,14500,14500,0,14500,14500,14500,14500,14500,14500,0,14000,14000,14000,14000,14000,0,0,0,0,0,0,0,0
"Pasar Sederhana","Gula Pasir",14000,14000,0,0,14000,14000,14000,14000,14000,14000,0,14000,14000,14000,14000,14000,14000,0,14000,14000,14000,14000,14000,0,0,32000,32000,32000,32000,32000,0
"Pasar Sederhana",Kentang,16000,16000,0,0,16000,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,16000,16000,16000,16000,16000,0,0,70000,70000,70000,70000,70000,0
"Pasar Sederhana",Kedelai,12000,12000,0,0,12000,12000,12000,12000,12000,12000,0,12000,12000,12000,12000,12000,12000,0,12000,12000,12000,12000,12000,0,0,13000,13000,13000,13000,13000,0
"Pasar Sederhana","Tepung Terigu",8000,8000,0,0,8000,8000,8000,8000,8000,8000,0,8000,8000,8000,8000,8000,8000,0,7500,7500,7500,7500,7500,0,0,0,0,0,0,0,0
"Pasar Sederhana","Bawang Putih",45000,45000,0,0,45000,45000,45000,45000,45000,45000,0,45000,45000,45000,45000,45000,40000,0,45000,45000,45000,45000,45000,0,0,36000,36000,36000,36000,36000,0
"Pasar Sederhana","Cabe Keriting",45000,45000,0,0,45000,45000,45000,45000,45000,45000,0,45000,45000,45000,45000,45000,45000,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0
"Pasar Sederhana","Cabe Rawit",150000,150000,0,0,150000,150000,150000,150000,150000,150000,0,150000,150000,150000,150000,145000,140000,0,120000,120000,120000,120000,120000,0,0,90000,90000,90000,90000,90000,0
"Pasar Sederhana","Kacang Tanah",28000,28000,0,0,28000,28000,28000,28000,28000,28000,0,28000,28000,28000,28000,28000,22000,0,27000,27000,27000,27000,27000,0,0,27000,27000,27000,27000,27000,0
"Pasar Sederhana","Ubi Kayu",4000,4000,0,0,4000,4000,4000,4000,4000,4000,0,4000,4000,4000,4000,4000,4000,0,4000,4000,4000,4000,4000,0,0,14000,14000,14000,14000,14000,0
"Pasar Sederhana","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana",Jagung,7000,7000,0,0,7000,7000,7000,7000,7000,7000,0,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0
"Pasar Sederhana","Ikan Olahan",70000,70000,0,0,70000,70000,70000,70000,70000,70000,0,0,70000,70000,70000,70000,70000,0,70000,70000,70000,70000,70000,0,0,0,0,0,0,0,0
"Pasar Sederhana","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana","Minyak Goreng Curah",13000,13000,0,0,13000,13000,13000,13000,13000,13000,0,0,13000,13000,13000,13000,13000,0,13000,13000,13000,13000,13000,0,0,2200,2200,2200,2200,2200,0
"Pasar Sederhana","Daging Ayam Kampung",75000,75000,0,0,75000,75000,75000,75000,75000,75000,0,75000,75000,75000,75000,75000,75000,0,75000,75000,75000,75000,75000,0,0,40000,40000,40000,40000,40000,0
"Pasar Sederhana","Telur Ayam Kampung",44000,44000,0,0,44000,44000,44000,44000,44000,44000,0,44000,44000,44000,44000,44000,44000,0,44000,44000,44000,44000,44000,0,0,40000,40000,40000,40000,40000,0
"Pasar Sederhana","Susu Kental Manis Merk Bendera",10000,10000,0,0,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0
"Pasar Sederhana","Susu Kental Manis Merk Indomilk",9500,9500,0,0,9500,9500,9500,9500,9500,9500,0,9500,9500,9500,9500,9500,9500,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0
"Pasar Sederhana","Garam Beryodium Bata",1500,1500,0,0,1500,1500,1500,1500,1500,1500,0,1500,1500,1500,1500,1500,1500,0,1500,1500,1500,1500,1500,0,0,1500,1500,1500,1500,1500,0
