lokasi,nama_komoditas,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,2017-02-27,2017-02-28
"Pasar Sederhana","Beras Medium",10000,10000,10000,0,0,11000,32000,11000,11000,11000,0,0,11000,11000,0,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000
"Pasar Sederhana","Cabe Merah",50000,50000,50000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000,0,60000,60000,0,0,55000,60000,60000,60000,60000,0,0,60000,60000
"Pasar Sederhana","Bawang Merah",30000,30000,35000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,0,32000,32000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000
"Pasar Sederhana","Daging Ayam Ras",30000,30000,30000,0,0,30000,30000,33000,33000,33000,0,0,30000,30000,0,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000
"Pasar Sederhana","Telur Ayam Ras",19000,19000,19500,0,0,19000,19000,19000,19000,19000,0,0,19000,19000,0,19000,19000,0,0,19000,19000,19000,19000,19000,0,0,19000,19000
"Pasar Sederhana","Daging Sapi",120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000,0,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000
"Pasar Sederhana","Minyak Goreng",14000,14000,14000,0,0,14000,14000,14500,14500,14500,0,0,14500,14500,0,14500,14500,0,0,14500,14500,14500,14500,14500,0,0,14500,14500
"Pasar Sederhana","Gula Pasir",13000,13000,15000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,0,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000
"Pasar Sederhana",Kentang,15000,15000,15000,0,0,16000,7000,16000,16000,16000,0,0,16000,16000,0,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000
"Pasar Sederhana",Kedelai,10000,10000,10000,0,0,10000,12000,12000,12000,28000,0,0,28000,28000,0,28000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000
"Pasar Sederhana","Tepung Terigu",7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,0,7000,7500,0,0,7500,7500,7500,7500,7750,0,0,7750,8000
"Pasar Sederhana","Bawang Putih",40000,40000,40000,0,0,40000,28000,40000,40000,40000,0,0,40000,40000,0,40000,40000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000
"Pasar Sederhana","Cabe Keriting",55000,55000,55000,0,0,55000,14000,60000,60000,60000,0,0,60000,60000,0,60000,60000,0,0,55000,60000,60000,60000,60000,0,0,52500,45000
"Pasar Sederhana","Cabe Rawit",140000,140000,140000,0,0,150000,150000,150000,150000,150000,0,0,150000,150000,0,150000,150000,0,0,150000,150000,150000,150000,150000,0,0,150000,150000
"Pasar Sederhana","Kacang Tanah",25000,25000,30000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,0,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000
"Pasar Sederhana","Ubi Kayu",5000,5000,5000,0,0,5000,7000,5000,5000,5000,0,0,5000,5000,0,5000,4000,0,0,4000,4000,4000,4000,4000,0,0,4000,4000
"Pasar Sederhana","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana",Jagung,8000,8000,8000,0,0,8000,8000,7000,7000,7000,0,0,7000,7000,0,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000
"Pasar Sederhana","Ikan Olahan",60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000,0,60000,70000,0,0,70000,70000,70000,70000,70000,0,0,70000,70000
"Pasar Sederhana","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana","Minyak Goreng Curah",12500,12500,12000,0,0,13000,13000,13000,13000,13000,0,0,13000,13000,0,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,13000
"Pasar Sederhana","Daging Ayam Kampung",75000,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,75000,75000,0,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,75000,75000
"Pasar Sederhana","Telur Ayam Kampung",7000,7000,7000,0,0,44000,44000,44000,44000,44000,0,0,44000,44000,0,44000,44000,0,0,44000,44000,44000,44000,44000,0,0,44000,44000
"Pasar Sederhana","Susu Kental Manis Merk Bendera",11000,11000,11000,0,0,10000,10000,11000,11000,11000,0,0,11000,11000,0,11000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000
"Pasar Sederhana","Susu Kental Manis Merk Indomilk",14000,14000,14000,0,0,9500,9500,14000,14000,14000,0,0,14000,14000,0,14000,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500
"Pasar Sederhana","Garam Beryodium Bata",1000,1000,1000,0,0,1000,1000,1500,1500,1500,0,0,1500,1500,0,1500,1500,0,0,1500,1500,1500,1500,1500,0,0,1500,1500
"Pasar Sederhana","Garam Beryodium Halus",6000,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,6000,0,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,6000
"Pasar Sederhana","Tepung Terigu Cakra Kembar",8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8250,0,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500
"Pasar Sederhana","Tepung Terigu Kunci",26000,26000,7500,0,0,7500,26000,26000,26000,26000,0,0,26000,16750,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500
"Pasar Sederhana","Mie Instan",2500,2500,2500,0,0,2200,2200,2500,2500,2500,0,0,2500,2500,0,2500,2200,0,0,2200,2200,2200,2200,2200,0,0,2200,2200
"Pasar Sederhana","Cabe Rawit Hijau",85000,85000,85000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,0,100000,100000,0,0,100000,100000,100000,100000,90000,0,0,90000,80000
"Pasar Sederhana","Kacang Hijau",21000,21000,21000,0,0,21000,21000,21000,21000,21000,0,0,21000,21000,0,21000,24000,0,0,24000,24000,24000,24000,24000,0,0,24000,24000
"Pasar Sederhana","Susu Bubuk Dancow",38300,38300,38300,0,0,38300,38300,41200,41200,41200,0,0,41200,41200,0,41200,41200,0,0,41200,41200,41200,41200,41200,0,0,41200,41200
"Pasar Sederhana","Susu Bubuk Indomilk",34950,34950,34950,0,0,34950,34950,36500,36500,36500,0,0,36500,36500,0,36500,36500,0,0,36500,36500,36500,36500,36500,0,0,36500,36500
"Pasar Sederhana","Ikan Kembung",35000,35000,30000,0,0,34000,34000,34000,34000,34000,0,0,34000,34000,0,34000,34000,0,0,34000,34000,34000,34000,34000,0,0,34000,34000
