lokasi,nama_komoditas,2016-09-01,2016-09-02,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-19,2016-09-21,2016-09-22,2016-09-23,2016-09-26,2016-09-27,2016-09-28,2016-09-30,2016-09-05,,,
Pasar Sederhana,Beras Medium,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,,,
Pasar Sederhana,Cabe Merah,30000,30000,60000,60000,60000,60000,55000,55000,55000,55000,55000,55000,0,55000,55000,55000,55000,55000,60000,,,
Pasar Sederhana,Bawang Merah,45000,45000,50000,50000,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,,,
Pasar Sederhana,Daging Ayam Ras,33000,33000,33000,33000,33000,35000,36000,36000,36000,36000,35000,35000,35000,35000,35000,35000,35000,35000,33000,,,
Pasar Sederhana,Telur Ayam Ras,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,20000,20000,20000,20000,21000,,,
Pasar Sederhana,Daging Sapi,120000,120000,120000,120000,0,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,,,
Pasar Sederhana,Minyak Goreng,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,,,
Pasar Sederhana,Gula Pasir,16000,16000,16000,16000,16000,16000,0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,,,
Pasar Sederhana,Kentang,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,0,20000,20000,0,20000,20000,,,
Pasar Sederhana,Kedelai,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,,,
Pasar Sederhana,Tepung Terigu,8000,8000,0,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,,,
Pasar Sederhana,Bawang Putih,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,0,35000,35000,35000,35000,35000,35000,35000,35000,,,
Pasar Sederhana,Cabe Keriting,34000,34000,45000,45000,45000,55000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,,,
Pasar Sederhana,Cabe Rawit,50000,50000,55000,55000,55000,55000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,55000,,,
Pasar Sederhana,Kacang Tanah,30000,30000,30000,30000,30000,30000,30000,30000,30000,0,30000,30000,30000,30000,30000,30000,30000,30000,30000,,,
Pasar Sederhana,Ubi Kayu,4000,4000,4000,4000,4000,0,4000,4000,0,4000,4000,0,4000,4000,4000,4000,4000,4000,4000,,,
Pasar Sederhana,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Pasar Sederhana,Jagung,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,,,
Pasar Sederhana,Ikan Olahan,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,,,
Pasar Sederhana,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Pasar Sederhana,Minyak Goreng Curah,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,0,,,
Pasar Sederhana,Daging Ayam Kampung,75000,0,75000,75000,75000,75000,75000,0,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,,,
Pasar Sederhana,Telur Ayam Kampung,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,,,
Pasar Sederhana,Susu Kental Manis Merk Bendera,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000,,,
Pasar Sederhana,Susu Kental Manis Merk Indomilk,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,,,
