lokasi,nama_komoditas,2016-12-01,2016-12-02,2016-12-03,2016-12-04,2016-12-05,2016-12-06,2016-12-07,2016-12-08,2016-12-09,2016-12-10,2016-12-11,2016-12-12,2016-12-13,2016-12-14,2016-12-15,2016-12-16,2016-12-17,2016-12-18,2016-12-19,2016-12-20,2016-12-21,2016-12-22,2016-12-23,2016-12-24,2016-12-25,2016-12-26,2016-12-27,2016-12-28,2016-12-29,2016-12-30,2016-12-31
"Pasar Sederhana","Beras Medium",10000,10000,0,0,10000,10000,10000,0,10000,0,0,0,0,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,0,0,10000,10000,10000,10000,0
"Pasar Sederhana","Cabe Merah",60000,60000,0,0,60000,60000,60000,0,60000,0,0,0,0,60000,60000,0,0,60000,59000,58000,58000,58000,0,0,0,0,50000,50000,50000,50000,0
"Pasar Sederhana","Bawang Merah",40000,40000,0,0,40000,40000,40000,0,40000,0,0,0,0,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,0,0,35000,35000,35000,35000,0
"Pasar Sederhana","Daging Ayam Ras",30000,30000,0,0,32000,32000,32000,0,32000,0,0,0,0,33000,33000,0,0,33000,33500,34000,34000,34000,0,0,0,0,35000,35000,35000,35000,0
"Pasar Sederhana","Telur Ayam Ras",19000,19000,0,0,19000,19000,32000,0,32000,0,0,0,0,19500,19500,0,0,19500,20250,21000,21000,21000,0,0,0,0,23500,23500,23500,23500,0
"Pasar Sederhana","Daging Sapi",120000,120000,0,0,120000,120000,120000,0,120000,0,0,0,0,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,0,0,120000,120000,120000,120000,0
"Pasar Sederhana","Minyak Goreng",14500,14500,0,0,14500,14500,14500,0,14500,0,0,0,0,14500,14500,0,0,14500,14500,14500,14500,14500,0,0,0,0,14500,14500,14500,14500,0
"Pasar Sederhana","Gula Pasir",15000,15000,0,0,15000,15000,15000,0,15000,0,0,0,0,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,0,0,15000,15000,15000,15000,0
"Pasar Sederhana",Kentang,14000,14000,0,0,14000,14000,14000,0,14000,0,0,0,0,14000,14000,0,0,14000,14500,15000,15000,15000,0,0,0,0,15000,15000,15000,15000,0
"Pasar Sederhana",Kedelai,12000,12000,0,0,12000,12000,12000,0,12000,0,0,0,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,0,0,12000,12000,12000,12000,0
"Pasar Sederhana","Tepung Terigu",0,8000,0,0,8000,8000,8000,0,8000,0,0,0,0,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,0,0,8000,8000,8000,8000,0
"Pasar Sederhana","Bawang Putih",36000,36000,0,0,36000,36000,36000,0,36000,0,0,0,0,36000,36000,0,0,36000,38000,40000,40000,40000,0,0,0,0,40000,0,40000,40000,0
"Pasar Sederhana","Cabe Keriting",65000,65000,0,0,0,65000,65000,0,65000,0,0,0,0,65000,65000,0,0,65000,65000,65000,65000,65000,0,0,0,0,55000,55000,55000,55000,0
"Pasar Sederhana","Cabe Rawit",50000,50000,0,0,50000,50000,50000,0,50000,0,0,0,0,80000,80000,0,0,80000,80000,80000,80000,80000,0,0,0,0,100000,100000,100000,100000,0
"Pasar Sederhana","Kacang Tanah",30000,30000,0,0,30000,30000,30000,0,30000,0,0,0,0,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,0,0,30000,30000,30000,30000,0
"Pasar Sederhana","Ubi Kayu",4000,4000,0,0,4000,4000,0,0,4000,0,0,0,0,4000,4000,0,0,4000,4000,4000,4000,4000,0,0,0,0,4000,4000,4000,4000,0
"Pasar Sederhana","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana",Jagung,7000,7000,0,0,7000,7000,7000,0,7000,0,0,0,0,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,0,0,7000,7000,7000,7000,0
"Pasar Sederhana","Ikan Olahan",70000,70000,0,0,70000,70000,70000,0,70000,0,0,0,0,70000,70000,0,0,70000,70000,70000,70000,70000,0,0,0,0,70000,70000,70000,70000,0
"Pasar Sederhana","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana","Minyak Goreng Curah",12000,12000,0,0,12000,12000,12000,0,12000,0,0,0,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,0,0,12000,12000,12000,12000,0
